name,H_mag,a,e,sin_i,n,g,s,LCE,My,family1
56041,14.9,2.2947178,0.1795764,0.1232545,103.55126,34.423214,-40.137506,59.23,2,0
56043,15.25,2.2465298,0.1582275,0.1113078,106.902262,33.149991,-37.42992,16.65,2,0
56045,14.53,2.1766208,0.074377,0.0537888,112.09506,31.980396,-33.04104,2.15,2,0
56047,15.84,2.2827691,0.0600774,0.027455,104.366359,35.80776,-36.342357,2.97,2,0
56052,15.0,2.2836894,0.1428251,0.0732761,104.302987,35.325283,-38.51156,0.27,2,0
56058,14.46,2.2535343,0.1156385,0.3500896,106.406642,19.184101,-30.844577,12.82,2,0
56059,15.18,2.2837147,0.133501,0.0713579,104.301302,35.345164,-38.159497,1.84,2,0
56060,15.17,2.2876707,0.1859347,0.1059135,104.030702,34.756038,-40.382365,54.2,2,0
56069,15.17,2.2500373,0.1987299,0.1062409,106.651819,33.505765,-39.583738,125.88,2,0
56071,14.68,2.2595636,0.2159085,0.4186747,105.981871,13.843054,-32.603193,12.38,2,0
56106,14.48,2.2995839,0.1688789,0.1209465,103.223327,34.636117,-39.832438,15.02,2,0
56232,15.06,2.1933185,0.1422044,0.0402303,110.818399,32.758755,-35.456289,46.29,2,0
56271,14.54,2.2959976,0.121145,0.1201492,103.465689,34.435125,-37.709806,43.22,2,0
56292,14.42,2.2713221,0.0806142,0.101878,105.15667,34.119822,-35.880716,2.57,2,0
56308,14.82,2.2637483,0.1324623,0.0895838,105.684682,34.255745,-37.233775,1.33,2,0
56309,15.59,2.1984636,0.1043635,0.0365214,110.427899,32.8768,-34.414285,40.9,2,0
56316,15.39,2.2822325,0.1593607,0.0215659,104.402998,35.93774,-39.414169,36.59,2,0
56320,15.74,2.2626614,0.0744393,0.1130457,105.761222,33.509825,-35.353021,2.87,2,0
56332,15.3,2.24003,0.1080078,0.0364406,107.368042,34.304737,-35.899087,2.63,2,0
56339,15.51,2.1667492,0.1574956,0.0651848,112.854825,31.626862,-35.072975,49.47,2,0
56346,15.2,2.2756343,0.0890272,0.1258802,104.857929,33.524963,-35.987202,3.07,2,0
56348,15.34,2.1805583,0.1513999,0.0968199,111.792067,31.436059,-35.097806,38.28,2,0
56354,15.16,2.2232507,0.1354082,0.0891909,108.585923,32.919428,-35.911681,34.19,2,0
56357,15.57,2.1623869,0.1745508,0.084589,113.035667,31.154096,-35.92062,285.28,2,0
56361,14.68,2.2400668,0.1641858,0.0595391,107.365405,34.099965,-37.855298,6.66,2,0
56362,15.29,2.2264362,0.1016245,0.0528646,108.353186,33.647812,-35.188559,7.98,2,0
56365,15.82,2.203356,0.1215371,0.0504943,110.061231,32.922989,-35.035939,32.96,2,0
56366,15.94,2.1824277,0.0875253,0.0761583,111.644519,31.895661,-33.356883,7.53,2,0
56369,15.33,2.222716,0.1214757,0.0950448,108.6254,32.764711,-35.388497,7.56,2,0
56370,14.72,2.2802381,0.0926686,0.1215979,104.540414,33.822189,-36.290166,2.77,2,4
56371,14.3,2.2529655,0.1172016,0.177212,106.445186,30.83887,-35.676637,29.1,2,0
56372,14.92,2.2761971,0.188965,0.0900613,104.818962,34.771093,-40.246649,85.48,2,0
56375,15.55,2.2879029,0.1103869,0.021921,104.014981,36.089179,-37.747517,3.14,2,0
56377,15.7,2.2321381,0.1195713,0.1065356,107.93826,32.756279,-35.562394,6.37,2,0
56379,15.18,2.2696327,0.143701,0.09296,105.273766,34.358444,-37.855893,32.53,2,2076
56380,15.43,2.2487009,0.1126011,0.1128022,106.747568,33.104316,-35.853186,26.99,2,0
56381,15.89,2.2556183,0.1036415,0.1062955,106.256893,33.564384,-35.873687,8.57,2,0
56382,15.53,2.2705246,0.0903334,0.1093049,105.212093,33.890249,-36.01267,0.0,2,0
56383,14.97,2.2314473,0.1501777,0.0908441,107.991064,33.172856,-36.749361,78.01,2,0
56384,15.15,2.2681,0.0983784,0.1176168,105.38089,33.569624,-36.056041,3.26,2,4
56385,15.52,2.2280123,0.1236964,0.0617926,108.238106,33.59456,-35.849275,2.18,2,0
56386,15.53,2.219065,0.0704217,0.075203,108.893798,33.011357,-34.145604,2.66,2,0
56387,15.6,2.204024,0.1237589,0.0544579,110.010373,32.908362,-35.092424,7.66,2,0
56388,14.93,2.2335498,0.1699974,0.0622985,107.835754,33.840387,-37.849754,43.18,2,0
56389,15.68,2.2723214,0.1160408,0.0815724,105.087196,34.704495,-37.044962,21.34,2,0
56390,14.95,2.2929422,0.135198,0.0970771,103.674009,35.063676,-38.356046,4.94,2,0
56391,15.21,2.2442128,0.1179524,0.0655364,107.067971,34.067849,-36.209689,0.0,2,0
56392,15.49,2.2441624,0.1491097,0.0801345,107.071443,33.826404,-37.249901,8.43,2,0
56393,15.64,2.2127211,0.0756804,0.1269365,109.368726,31.570002,-33.768943,24.63,2,0
56395,15.52,2.2024542,0.1551493,0.1112692,110.127557,31.711893,-35.906669,50.44,2,0
56397,15.22,2.2047094,0.1759165,0.1067729,109.95613,31.966418,-36.815918,81.31,2,0
56398,16.0,2.2315383,0.149665,0.1046936,107.981107,32.832113,-36.606575,66.14,2,0
56401,14.74,2.2891438,0.0419652,0.1523838,103.931127,32.873433,-35.304874,1.82,2,0
56403,15.41,2.2555707,0.1536451,0.1086077,106.253747,33.605596,-37.600143,124.9,2,0
56405,15.77,2.2093301,0.1389049,0.0871445,109.61405,32.529659,-35.605327,34.97,2,0
56408,15.73,2.1846603,0.0623566,0.0982651,111.476882,31.460863,-32.892619,2.2,2,0
56411,15.13,2.1898526,0.0755923,0.0650232,111.080433,32.253171,-33.391672,2.98,2,0
56412,15.32,2.2640405,0.080926,0.1137107,105.664562,33.534412,-35.535832,3.35,2,0
56414,15.18,2.1847112,0.1038427,0.1267719,111.47294,30.710542,-33.716344,9.19,2,0
56416,15.74,2.2414673,0.0194824,0.0840248,107.26514,33.524679,-34.215062,2.97,2,0
56419,15.87,2.2213774,0.0913612,0.1198733,108.723876,32.000803,-34.367656,4.89,2,0
56421,15.13,2.2029888,0.1599386,0.1065589,110.094972,31.883489,-36.086124,21.23,2,0
56424,15.04,2.1884825,0.0788925,0.0874175,111.184841,31.756911,-33.373444,3.34,2,0
56426,15.66,2.2975832,0.2141925,0.1032213,103.359274,35.254863,-42.486595,81.49,2,0
56436,14.54,2.2397583,0.1472926,0.0979312,107.387537,33.258616,-36.877829,2.42,2,883
