name,H_mag,a,e,sin_i,n,g,s,LCE,My,family1
16,6.03,2.9221279,0.1022472,0.0439404,72.049149,76.767457,-73.100753,1.47,-2,0
22,6.43,2.9095757,0.0891035,0.2179816,72.520331,56.714066,-63.303586,16.6,-2,0
33,8.64,2.866171,0.2968957,0.0346909,74.165881,83.472225,-108.099847,48.41,10,0
47,8.01,2.8800613,0.1127452,0.090647,73.634865,70.196126,-69.632986,3.39,-2,0
81,8.48,2.8540696,0.1805125,0.1431997,74.643093,66.553815,-73.562378,1.55,-2,0
129,7.17,2.870315,0.2246354,0.2085026,74.009621,59.100319,-77.396159,39.43,-2,0
158,9.13,2.868775,0.0452243,0.0375398,74.07027,71.008766,-65.575376,1.49,-2,158
167,9.13,2.8535393,0.0429128,0.037099,74.664648,69.743786,-64.459379,1.04,-2,158
174,8.34,2.8600559,0.1548849,0.2282043,74.411094,53.69067,-65.286644,0.0,-2,0
191,8.88,2.8955233,0.0549716,0.1914455,73.047533,59.537163,-62.270812,0.0,-2,0
195,8.98,2.8779835,0.0644056,0.1198069,73.71543,66.810309,-64.986359,2.44,-2,0
208,9.07,2.8928676,0.0450131,0.0372191,73.146306,73.2476,-67.248465,1.5,-2,158
217,9.78,2.8704459,0.282629,0.169695,74.003006,68.182103,-94.254328,78.87,10,0
231,9.43,2.9204565,0.1694377,0.1009403,72.110341,74.446197,-79.788323,0.95,-2,0
235,8.84,2.8819634,0.0746089,0.1401197,73.562918,65.185347,-64.968329,1.49,-2,0
238,7.92,2.9069713,0.0595408,0.2139722,72.616681,56.97158,-61.803568,0.4,-2,0
242,9.34,2.8628576,0.1391201,0.2085178,74.301616,56.30571,-65.052779,4.43,-2,0
243,9.89,2.8616141,0.0456271,0.0364411,74.348638,70.434462,-65.111431,1.49,-2,158
263,10.2,2.8865531,0.0420072,0.0371919,73.386625,72.617908,-66.697309,1.49,-2,158
277,9.72,2.8855954,0.052825,0.0373265,73.423118,72.616513,-67.058931,1.5,-2,158
280,10.9,2.9431325,0.1128359,0.1314702,71.279565,72.282073,-72.789192,1.29,-2,0
289,9.51,2.8738619,0.1682786,0.1112517,73.872582,69.540983,-74.965329,1.98,-2,0
293,10.09,2.861761,0.1295553,0.2577889,74.345643,48.253116,-60.712496,1.58,-2,293
307,9.91,2.9084475,0.1261323,0.0855894,72.558429,73.413568,-73.42528,0.1,-2,0
311,9.79,2.8976307,0.0405951,0.0372485,72.965934,73.681817,-67.423429,1.49,-2,158
321,9.88,2.8856106,0.0459248,0.0380413,73.422585,72.53297,-66.763826,1.49,-2,158
338,8.45,2.91259,0.0247998,0.1250524,72.405055,69.02869,-65.65612,1.49,-2,0
349,5.95,2.9248299,0.0603699,0.1372575,71.950757,69.057141,-67.207917,1.51,-2,0
358,9.09,2.8778522,0.1342772,0.0611932,73.718967,72.40637,-72.54865,0.75,-2,0
385,7.4,2.846679,0.1857589,0.2372467,74.936191,54.43686,-67.318111,1.31,-2,0
386,7.58,2.8962335,0.1457052,0.3349164,73.02375,35.117886,-57.992172,1.92,-2,0
392,9.65,2.8845173,0.1268867,0.2501848,73.467015,50.342989,-62.412599,1.54,-2,0
406,10.29,2.9159617,0.1443151,0.090134,72.277672,74.222792,-76.130341,1.51,-2,0
411,9.23,2.9351394,0.1217649,0.2408354,71.572822,54.929577,-65.840749,21.63,-2,0
425,9.58,2.8866625,0.0967066,0.0546804,73.382055,72.645298,-69.640647,1.48,-2,0
426,8.56,2.8892794,0.1795257,0.3482416,73.286245,32.835685,-59.857147,19.47,-2,0
430,10.99,2.8438759,0.2572047,0.2492349,75.045559,60.657064,-78.784272,14.71,-2,0
452,11.86,2.8469481,0.0491881,0.0363505,74.924211,69.389498,-64.246245,1.49,-2,158
462,9.3,2.8737068,0.0501052,0.0362103,73.87952,71.5301,-66.121902,1.47,-2,158
467,10.81,2.9441315,0.0863469,0.1272562,71.243502,72.401892,-70.696272,7.52,-2,0
471,6.84,2.8881439,0.1952856,0.2367724,73.325468,54.051267,-71.575088,22.83,-2,0
497,9.76,2.8501857,0.2579084,0.0809549,74.792997,81.323514,-93.209316,33.99,-2,0
534,9.49,2.8842045,0.0529396,0.0368874,73.476269,72.500025,-66.969506,1.5,-2,158
542,9.28,2.9059685,0.1064496,0.1964495,72.653679,60.047099,-65.752185,4.43,-2,0
558,8.99,2.9079182,0.0618774,0.1349932,72.579644,67.772386,-66.252684,0.02,-2,0
568,9.32,2.8836003,0.1882022,0.3194229,73.50351,38.521102,-62.762886,1.48,-2,0
596,8.75,2.9297527,0.1979741,0.2261046,71.769606,58.607005,-76.207776,0.9,-2,0
607,9.84,2.8521781,0.1100335,0.1965966,74.719601,57.08313,-62.538084,0.0,-2,0
613,9.55,2.9202734,0.0490197,0.1402887,72.119439,68.215431,-66.235554,1.42,-2,0
627,9.75,2.8997387,0.0472878,0.1000041,72.88777,70.28596,-66.389795,22.1,-2,0
636,9.52,2.9097208,0.1415452,0.1313797,72.512495,69.537851,-73.398796,21.28,-2,0
658,10.35,2.854257,0.0452103,0.0371171,74.636464,69.823408,-64.586781,1.48,-2,158
674,7.34,2.9237932,0.1969734,0.2202907,71.989046,59.090545,-76.096635,1.36,-2,0
677,9.44,2.9555372,0.079246,0.1689373,70.831299,68.203303,-68.662418,152.4,-2,0
693,9.48,2.9441919,0.0609048,0.2513304,71.243678,53.177659,-61.521036,15.98,10,0
697,9.34,2.881407,0.1313139,0.2531718,73.586092,49.747575,-62.381323,1.46,-2,0
698,10.9,2.868554,0.1354543,0.1925022,74.079957,58.746893,-66.109504,3.39,-2,0
705,8.41,2.9232957,0.0472589,0.4229681,72.01458,14.114512,-46.551037,1.49,-2,0
709,9.09,2.914348,0.0892798,0.2883089,72.342674,44.452771,-58.523574,1.45,-2,0
720,9.66,2.8873089,0.0507626,0.0358709,73.357734,72.803874,-67.106655,1.49,-2,158
761,10.69,2.8632156,0.0447079,0.0368512,74.28629,70.547494,-65.183505,5.62,-2,158
773,9.05,2.8578468,0.0667666,0.2982225,74.499908,40.277495,-53.944378,1.41,-2,0
