name,H_mag,a,e,sin_i,n,g,s,LCE,My,family1
4,3.31,2.3615126,0.098758,0.1113361,99.188833,36.872897,-39.597863,2.83,2,4
6,5.76,2.425271,0.1584864,0.2478633,95.303184,31.568209,-41.829042,4.56,2,0
7,5.51,2.3862106,0.2125516,0.1113386,97.653672,38.403324,-46.447128,42.64,2,0
9,6.26,2.3864354,0.1271833,0.0816839,97.638314,38.754973,-41.99809,1.68,2,0
11,6.57,2.4522563,0.074462,0.0677971,93.732769,40.759353,-43.165848,2.99,2,0
12,7.21,2.3342697,0.1751414,0.1624078,100.93183,34.141216,-40.913297,37.74,2,0
17,7.69,2.4711314,0.1378521,0.085026,92.660251,43.751878,-46.31436,11.08,2,0
19,7.19,2.4420129,0.1345231,0.0387542,94.322911,41.871738,-45.183597,3.27,2,0
20,6.47,2.4086388,0.1618339,0.0247957,96.290474,40.876056,-45.116151,18.67,2,20
21,7.37,2.4352604,0.1292457,0.0374493,94.715652,41.501752,-44.628579,3.1,2,0
25,7.81,2.4001541,0.228119,0.3973687,96.805664,17.683632,-38.716994,4.89,2,25
27,6.98,2.3470359,0.1864927,0.0122625,100.107293,38.577948,-43.678367,10.46,2,0
30,7.58,2.3656314,0.1049977,0.0491202,98.929528,38.591591,-40.548301,3.12,2,0
42,7.5,2.4412446,0.188517,0.1325683,94.367446,40.056324,-47.098256,25.49,2,0
44,7.07,2.4227124,0.1740498,0.0533592,95.4524,41.291334,-46.35788,9.5,2,0
51,7.45,2.3657122,0.1140023,0.1739933,98.925147,34.319636,-39.27861,2.3,2,0
60,8.52,2.3932499,0.202123,0.0713399,97.219544,39.831649,-46.585609,65.24,2,0
63,7.48,2.3951621,0.1206297,0.1082735,97.105196,38.241389,-41.780309,5.13,2,4
67,8.28,2.4208971,0.1550276,0.1155598,95.560289,39.194843,-44.409152,1.58,2,0
79,8.03,2.4442526,0.1769576,0.0871509,94.192785,41.789234,-47.250379,24.92,2,0
83,8.53,2.4314845,0.1173577,0.0794213,94.936669,40.350028,-43.586,2.92,2,0
84,9.19,2.3621852,0.1927936,0.1636856,99.146516,35.108131,-43.059424,44.79,2,0
105,8.67,2.3732502,0.2049501,0.3707119,98.456343,19.738965,-37.567946,8.27,2,0
112,9.58,2.4339471,0.0940619,0.0557341,94.792612,40.739746,-43.055258,2.91,2,0
113,8.65,2.3760134,0.1211794,0.0776406,98.281642,38.453954,-41.354213,2.88,2,0
115,7.54,2.3799055,0.1797162,0.2178985,98.041463,32.492833,-41.917105,55.83,2,0
118,8.72,2.4379238,0.1673495,0.1230686,94.560558,39.842772,-45.765284,2.85,2,0
126,9.1,2.4388608,0.0723029,0.0460266,94.506261,40.847586,-42.702384,3.03,2,0
131,9.84,2.431576,0.0940052,0.0721161,94.931409,40.303268,-42.80447,1.68,2,0
135,8.15,2.4285098,0.1740578,0.0465691,95.11062,41.700264,-46.698109,7.44,2,135
138,8.69,2.4478357,0.1381861,0.0444478,93.985573,42.145549,-45.602653,34.65,2,0
142,10.11,2.4184399,0.1576358,0.0560937,95.705529,40.622426,-45.106497,40.21,2,135
161,8.96,2.3793542,0.0997435,0.1534615,98.075247,35.715775,-39.683429,3.23,2,0
163,9.44,2.3671185,0.209589,0.0836932,98.835576,38.451247,-45.673813,15.81,2,163
169,9.33,2.3581782,0.0936523,0.0955375,99.39928,37.249904,-39.497548,2.92,2,0
