name,H_mag,a,e,sin_i,n,g,s,LCE,My,family1
35,8.5,2.995771,0.2643119,0.1467285,69.405059,83.882421,-108.690594,39.02,10,0
61,7.61,2.9842341,0.1512377,0.3114682,69.815656,44.249371,-65.370288,10.53,-2,0
69,7.11,2.9795964,0.1796546,0.1549689,69.97342,75.706934,-84.098249,1.27,-2,0
117,7.92,2.9914691,0.0306264,0.263761,69.559609,53.985068,-62.068539,24.74,-2,0
150,8.35,2.9821176,0.0920859,0.0490984,69.884724,83.860907,-76.915259,1.48,-2,0
162,8.84,3.0204536,0.2090547,0.0997204,68.554851,91.681434,-99.724287,26.01,-2,0
179,8.12,2.9723392,0.0759855,0.1569362,70.231769,71.562969,-70.409968,0.89,-2,179
221,7.75,3.0123876,0.0726107,0.1712299,68.835614,74.123099,-72.025931,11.53,-2,221
239,10.4,2.9699682,0.1979206,0.1017915,70.312413,84.896148,-90.774271,4.65,-2,0
256,9.75,3.000005,0.0992911,0.2291613,69.263469,62.359397,-68.947714,1.8,-2,0
271,9.73,3.0061613,0.0686785,0.0752766,69.047899,85.161608,-76.146659,0.48,-2,0
320,10.68,3.0132351,0.0808854,0.1746808,68.806291,73.682424,-72.522009,1.3,-2,221
331,9.59,3.0251229,0.0662239,0.1013207,68.399631,85.669878,-76.434074,1.03,-2,0
339,9.35,3.0119766,0.0736879,0.1689832,68.849278,74.442791,-72.233702,21.09,-2,221
348,9.29,2.9695315,0.083375,0.1498019,70.331259,72.432939,-71.138406,0.07,-2,0
360,8.52,3.0015258,0.1548201,0.1914717,69.208953,70.816339,-78.722575,3.67,-2,0
388,8.48,3.0055888,0.0441144,0.1183502,69.068421,80.422818,-72.941919,1.51,-2,0
427,10.04,2.9733771,0.1048058,0.1061619,70.193592,78.613058,-75.582136,12.29,-2,0
447,8.93,2.9863014,0.0150986,0.0657281,69.738581,82.331088,-72.590721,1.52,-2,0
450,10.02,3.0162148,0.0740929,0.1743652,68.70499,74.12095,-72.218195,50.71,10,221
458,9.54,2.993028,0.2044795,0.2151629,69.503801,66.949784,-84.300983,7.42,-2,0
478,7.96,3.0162259,0.0971959,0.2448084,68.705453,60.865167,-68.487793,62.21,10,0
482,8.75,2.9986681,0.104582,0.2510314,69.310344,57.841437,-67.454919,7.28,-2,0
494,9.04,2.9859959,0.084893,0.1134635,69.750732,78.869015,-74.366744,42.99,-2,0
513,9.35,3.0144187,0.0592395,0.168651,68.765778,74.620188,-71.518077,0.25,-2,221
520,10.48,3.0064838,0.0873289,0.1804432,69.0384,71.97278,-72.132512,1.79,-2,221
523,9.7,2.9670993,0.1773934,0.0918228,70.414907,84.628511,-86.632324,3.4,-2,0
529,9.93,3.0176069,0.0727604,0.1745892,68.656808,74.240679,-72.189509,1.52,-2,221
533,9.6,2.9804885,0.0772159,0.1133597,69.943154,78.091706,-73.338192,5.08,-2,0
551,9.56,2.9667467,0.113106,0.0220662,70.428443,83.821401,-78.313875,0.0,-2,0
